Period,EQ,Social_Search_Impressions,Social_Search_Working_cost,Digital_Impressions,Digital_Working_cost,Print_Impressions.Ads40,Print_Working_Cost.Ads50,OOH_Impressions,OOH_Working_Cost,SOS_pct,Digital_Impressions_pct,CCFOT,Median_Temp,Median_Rainfall,Fuel_Price,Inflation,Trade_Invest,Brand_Equity,Avg_EQ_Price,Any_Promo_pct_ACV,Any_Feat_pct_ACV,Any_Disp_pct_ACV,EQ_Base_Price,Est_ACV_Selling,pct_ACV,Avg_no_of_Items,pct_PromoMarketDollars_Category,RPI_Category,Magazine_Impressions_pct,TV_GRP,Competitor1_RPI,Competitor2_RPI,Competitor3_RPI,Competitor4_RPI,EQ_Category,EQ_Subcategory,pct_PromoMarketDollars_Subcategory,RPI_Subcategory
2016 - Period:1,504.7849334,,,37148.2,2045.282,,,,,7.446882968,,100,32.95,0.515,8.226,0.01325806452,42744.25684,42.41,49.09144714,9.691793869,,1.688895637,1.427532412,8696587915,39.44102455,2.611781593,0.0339,35.8170301,,,97.17336466,35.5573706,44.5027166,63.37726834,1728388.673,331927.5394,0.1627315206,40.5605634
2016 - Period:2,490.2264774,,,50886.8,2370.584,0.000014,0.000015,,,11.67708182,,87.5,34.625,0.27,7.473,0.009938487208,36290.43956,42.41,49.0576119,9.415937736,,1.687951925,1.442716305,8682307085,38.41722445,2.522813601,0.0391,36.38906504,,,97.85075967,37.22307199,45.72007693,62.73174163,1900859.879,334611.3806,0.2316496563,40.04630072
2016 - Period:3,479.2446856,,,253333.2,3180.888,0.0000156,0.0000175,,,0.1028581172,,96,46.7,0.39,8.001,0.007832480534,34852.14166,42.41,49.3675143,5.176683634,,,1.423408014,8706897549,36.49944234,2.477322366,0.0228,36.59998404,,,96.39773904,40.80056283,41.82295335,62.09041692,2036436.906,387148.3582,0.1253937639,40.41111476
2016 - Period:4,489.0574275,,,3426239,13595.398,0.00001624,0.00001875,,,0.2490549959,,100,49.65,0.35,8.767,0.01003430108,24869.55899,43.54357143,50.65763421,6.088273442,,,1.443401166,8660288592,38.1351586,2.520409444,0.0147,38.20185195,,,98.93651904,36.57613962,41.5784288,63.37435775,2113635.013,482489.674,0.05660340395,42.21324561
2016 - Period:5,477.0319938,,,552197.8,3983.134,0.000016496,0.000019375,,,13.33880372,,100,58.1,0.5025,9.277,0.009546344086,61675.32162,43.79,50.62577695,7.827112399,,0.170730805,1.473686853,8644518558,38.62956375,2.497285134,0.0219,38.64880451,31.70243263,25.3,100.5099691,36.03201621,42.60241192,63.29193408,2402211.102,629826.6484,0.06505877517,43.34557783
2016 - Period:6,487.8552994,,,29892.2,1800.344,0.0000165984,0.0000196875,,,13.56221165,,78.57142857,68.5,0.46,9.824,0.009290322581,40458.59237,43.79,51.26898425,9.791996605,1.633989247,,1.457054683,8627353001,39.09772922,2.455277266,0.0107,39.30595813,40.15864586,47.7,99.79650503,36.99643695,44.94302167,68.41594326,2796949.72,806075.7642,0.02991243042,44.07567409
2016 - Period:7,466.3992813,,,6021768,7591.644,0.00001663936,0.00001984375,,,14.39230493,,88,73.7,0.425,9.642,0.008283870968,40945.74781,44.00714286,50.67633334,8.802656562,,,1.437952918,8662698543,39.01776821,2.412757113,0.00765,39.65389732,31.03985479,44.7,101.0961852,37.31430812,43.35840904,65.42086852,2867306.933,828776.1488,0.02178847394,45.07282152
2016 - Period:8,546.0530843,,,1815307.2,7866.572,0.000016655744,0.000019921875,,,15.37612708,,84.61538462,77.35,0.555,9.148,0.008461290323,22026.52625,44.17,48.99297174,13.66005556,5.136756476,7.925423602,1.453832416,8511934271,37.94002737,2.641764423,0.0302,38.322539,32.19556553,32,94.65400559,34.01330448,41.35673961,64.47896031,2813494.081,789109.5698,0.09328705287,42.97452376
2016 - Period:9,464.9256065,,,153633.2,3579.13,0.0000166622976,0.0000199609375,,,22.93253391,,100,75.85,0.56,9.225,0.01102150538,53214.88476,44.17,49.30885217,9.791259803,5.154290993,3.894863652,1.476184679,7928216512,35.69618895,2.55980947,0.0304,38.11096719,38.00281558,16.5,96.23896326,37.37775805,40.57701559,63.26419349,2441916.655,606656.5082,0.1006998452,42.76078571
2016 - Period:10,357.6486931,3919100.6,24839.812,30331,23205.98871,0.00001666491904,0.00001998046875,,,28.52949334,,100,71.05,0.295,9.331,0.0139655914,25343.21025,44.20714286,54.13821437,6.060160312,,0.14777156,1.525389181,7765786227,32.61878034,2.664421184,0.00561,39.59574958,,,105.031551,46.59875087,44.63144345,67.04004941,2017353.844,421134.3688,0.02527051063,43.92596197
2016 - Period:11,298.553287,25075933,99256.76343,,,0.00001666596762,0.00001999023438,,,8.233142972,,100,60.075,0.16,9.442,0.0149844086,53637.19215,44.3,54.75500778,2.732962487,,,1.539994827,7616098981,32.15925481,2.496296773,0.00208,41.02094103,,,111.4366591,35.3278177,46.05511752,69.65789115,1930470.417,349816.2482,0.01144044268,44.54279611
2016 - Period:12,283.7974301,9662476.8,29277.73543,,,0.00001666638705,0.00001999511719,,,2.299508418,,100,49.35,0.095,9.18,0.01608655914,35020.00758,44.3,54.30927518,3.63844938,,,1.53053937,7392126173,31.37152636,2.39209368,0.00508,39.74471047,,,107.501689,39.4146519,44.65742941,67.53503067,1756735.667,297210.5135,0.03548914827,43.41771091
2016 - Period:13,239.2316222,21600,2006.674,,,0.00001666655482,0.00001999755859,,,4.305098958,,100,35.5,0.38,9.462,0.01869677419,31883.33016,44.3,53.47189294,3.087214438,,0.425449354,1.508347865,7405621915,30.28336924,2.075661489,0.0046,39.03128569,,,105.4073686,40.77367979,44.58240014,65.32483421,1628453.07,269453.0058,0.0356594207,42.77692089
2017 - Period:2,355.6522644,5830766.8,26952.73939,,,0.00001666664877,0.00001999938965,,,1.401843216,,100,40.95,0.2475,9.645,0.02688364055,454.7,44.45,51.50271562,11.696305,,,1.58779484,7380596234,30.97894426,2.56394635,0.0498,37.39311863,,,102.1497604,35.95465036,42.73663842,63.97001458,1891870.591,363513.0314,0.2779883868,41.42675522
